"0"	"Pregnant Eva Amurri Martino Reveals Split From Husband Kyle Martino"	"movies-celebrity"	"Eva Amurri announced she and her husband are "lovingly" parting ways after eight years of marriage."
"0"	"High tides surge through Venice, locals rush to protect art"	"weathertopstories"	"Exceptionally high tidal waters surged through Venice again on Friday, prompting the mayor to close St. Mark's Square and call for more donations for repairs just three days after the Italian lagoon city suffered its worst flooding in 50 years."
"1"	"College football Week 9: Picks and preview"	"football_ncaa"	"It's one of the lighter weeks in terms of volume of college football games featuring teams from The Associated Press Top 25. That does not mean we're void of high-profiled matchups."
"1"	"GM calls UAW workers back to plants, targeting truck assembly first"	"finance-companies"	"GM said UAW workers will resume work Monday, but at some pickup production plants, the automaker is looking for volunteers to start sooner."
"1"	"Report: Police investigating woman's death after Redskins' player Montae Nicholson took her to hospital"	"football_nfl"	"Police are investigating an apparent drug-overdose death of a woman after the Redskins' Montae Nicholson took her to a hospital, according to reports."
"1"	"China asks WTO for $2.4 billion sanctions against U.S. in latest clash"	"markets"	"China asks WTO for $2.4 billion sanctions against U.S. in latest clash"
"1"	"Kaitlynn Carter Recalls Falling in Love With Miley Cyrus in Candid Essay"	"tv-celebrity"	"The reality TV star reflects on their romance in a piece for Elle. She also writes, ''I still don't feel like I'm in a place to label my sexuality one way or another, but I'm okay with that.''"
"1"	"Chase Young fiasco highlights absurdity of NCAA's outdated model"	"football_ncaa"	"The nation's No. 1 team (per the College Football Playoff selection committee) will be without it's No. 1 player (per NFL scouts) on Saturday, a self-inflicted wound to college football that could morph into something even bigger."
"0"	"It's not just the Browns vs. Steelers. NFL has memorable history of fighting on the gridiron"	"football_nfl"	"After the Browns-Steelers brawl on Thursday, particularly Myles Garrett's outburst, let's relive some of the NFL's best fights in its history."
"1"	"Presenting: The 41 All-Time Most Stunning Dresses From the People's Choice Awards Red Carpet"	"lifestylecelebstyle"	"Top hats? Got 'em. A cane? Mm-hmm. Shoulder pads? You betcha."
"1"	"NFL Week 8: 11 bold predictions"	"football_nfl"	"The NFL marches into its eighth week of the 2019 season. Teams realize they need to step up or expect to be out of the playoff picture."
"0"	"Demi Lovato debuts new boyfriend, plus more celeb love life news for mid-November 2019"	"entertainment-celebrity"	"Anna Faris seemingly confirms engagement rumors, JWoww and boyfriend aren't back together after all, Porsha Williams admits fiancé cheated and more."
"0"	"From Temple to Baylor, Matt Rhule wins in hopeless places. His secret? People skills."	"football_ncaa"	"The coach, in the midst of his second program overhaul, appears to make his players into not only winners, but true believers."
"0"	"66 Cool Tech Gifts Anyone Would Be Thrilled to Receive"	"shop-holidays"	"Let's face it: everyone wants the newest, coolest tech gadget on the market, and we don't blame 'em."
"0"	"House to hear from US official who said he overheard Trump, Sondland call"	"newspolitics"	"In a closed-door deposition, House investigators will hear from David Holmes, the U.S. embassy official who overheard Trump and Sondland speak about "the investigations.""
"0"	"Hawks' Young with filthy move on Rubio"	"basketball_nba"	"In a matchup between two exciting young teams, Trae Young pretty much told Ricky Rubio who was boss."
"1"	"Former North Carolina State, NBA player Anthony Grundy dies in stabbing, police say"	"more_sports"	"Anthony Grundy starred at North Carolina State before playing professionally. He was killed in a stabbing Thursday in Louisville."
"1"	"Bucks 129, Cavaliers 112: Balanced effort helps Milwaukee overcome sluggish start"	"basketball_nba"	"The Bucks sputtered a bit off the jump, trailing by a point at the end of the first quarter, but their defense dug in from there during their 129-112 win over the Cavaliers."
"0"	"The most talked about movie moments of the 2010s"	"movies-gallery"	"Let's try to emphasize the positive, but there's one particular sequence that was so special in its awfulness, it had to go on this list. See if you can guess which one it is."
"1"	"Trump says he's replacing McAleenan as acting DHS secretary"	"newspolitics"	"McAleenan had been frustrated with a cadre of Trump's appointments to senior immigration roles and recently said he was struggling to control his department."
"1"	"6 surprising numbers from college football coaches salaries report"	"football_ncaa"	"College football coaches compensation continues to rise, with average total pay at $2.67 million, up 9% compared to last season."
"0"	"This custom Indian Scout Bobber is called the Hasty Flaming Buffalo"	"autosmotorcycles"	"Designed by Luuc Muis, it won Indian Motorcycles' custom bike contest"
"0"	"What Happens When Your Cruise Has to Rescue Another Ship"	"voices"	"Celebrity Cruises' 'Xpedition' ran aground in the Galapagos last week, but what followed was a master class in how to respond."
"1"	"Jets GM defends CEO's 'hopefully the team will actually show up' crack to fans"	"football_nfl"	""Frankly, he deserves better than 1-6," general manager Joe Douglas said Tuesday."
"1"	"Arik Gilbert, 5-star TE, commits to LSU"	"football_ncaa"	"One of the top-rated tight end prospects of all-time, Arik Gilbert committed to Alabama at his All American Bowl jersey ceremony Wednesday."
"0"	"Pair Of 'New' 1987 Buick Grand Nationals Pulled From Garage After 30 Years"	"autosclassics"	"This pair of Grand Nationals have only 1,400 miles combined!"
"1"	"There's A Black Turtleneck Shortage Because People Are Dressing Up Like Elizabeth Holmes for Halloween"	"lifestylebuzz"	"Are that many people dressing up as scammers for Halloween?"
"1"	"Opinion: NFL should suspend Browns' Myles Garrett for rest of season   at minimum   for helmet swing"	"football_nfl"	"The Browns won on Thursday, but only in the most literal sense. Pro Bowl defensive end Myles Garrett changed everything with the swing of a helmet."
"1"	"Moss sets more rushing records as No. 12 Utah routs Cal 35-0"	"football_ncaa"	"SALT LAKE CITY (AP)   No one knew for sure if an ailing Tyler Huntley was going to play for No. 12 Utah until pregame warmups. Seeing the quarterback's determination inspired Zack Moss and the rest of the Utes to a record-setting performance Saturday night in their 35-0 rout of California. Huntley, who has a lower left leg injury, limped around the field but never wavered in his promise to play earlier in the week. "He was pretty dicey all week...""
"1"	"Jillian Michaels Says Intermittent Fasting 'Isn't Actually Good For Weight Loss'"	"weightloss"	""That's just not true.""
"1"	"Cavs GM Koby Altman signs long-term extension with team"	"basketball_nba"	"Koby Altman has been tasked with trying to rebuild the Cleveland Cavaliers after LeBron James left the franchise a second time, and owner Dan Gilbert apparently feels he has been doing a solid job of that."
"0"	"Taylor Swift Says Scooter Braun, Scott Borchetta Are Blocking Her From Playing Old Hits at AMAs"	"musicnews"	"Taylor Swift has taken to social media to tell fans that Scott Borchetta, her former label head at Big Machine Records, and his new partner Scooter Braun are trying to nix her plans for a retrospective performance at the American Music Awards, as well as denying the use of her recordings for a documentary she"
"1"	"Washington "emphatically" denies rumor of Trent Williams trade to Browns"	"football_nfl"	"Maybe a dysfunctional team will indeed continue to do dysfunctional things. Amid a rumor from Steve Doerschuk of the Canton Repository linking Washington tackle Trent Williams to the Browns, Washington has put out the word that a trade isn't happening. Via Les Carpenter of the Washington Post, team officials "emphatically insist" that the rumor of [more]"
"1"	"Chick-fil-A Apologizes to Customers for Promoting National Sandwich Day   Which Is on a Sunday"	"foodnews"	"Chick-fil-A Apologizes for Promoting National Sandwich Day"
"0"	"Arizona sheriff's deputy tackles 15-year-old boy with no arms or legs"	"newsus"	""I'd like people to imagine that this is their child," the local public defender said in an interview."
"1"	"Franchise players? NBA sophomore class full of rising stars"	"basketball_nba"	"Deandre Ayton strolled around the practice court, talking and laughing with coaches and teammates following a two-hour workout with the Phoenix Suns. It is clear he is comfortable operating in lofty surroundings, even on a morning in the mountains of Flagstaff, despite a sign on the wall that warned of the dangers of physical exertion at 7,000 feet of altitude. "What's that, 7,000? Nah, I need more like 15. That was pretty light," Ayton quipped...."
"1"	"Parity in the NBA means no favorites to win the title"	"basketball_nba"	"Not since the mid-2000s has the NBA season begun with no prohibitive favorite to win the championship."
"1"	"Here are the economic issues that will define the year until Trump's 2020 reelection bid"	"markets"	"A healthy economy should bode well for Trump's 2020 reelection chances, but uncertainty created by trade policy poses risks."
"1"	"Meghan McCain confronts Trump Jr.: 'You and your family have hurt a lot of people'"	"newspolitics"	"Donald Trump Jr., the president's son, defended his family after "View" co-host Meghan McCain suggested they were responsible for the lack of "character" in American politics."
"1"	"Kylie Jenner and her bestie get surgery together, plus more news"	"entertainment-celebrity"	"What kind of surgery did Kylie Jenner and her BFF just get together? Plus, more celebrity news for Oct. 23, 2019."
"1"	"Eric Bledsoe forgot the rules of basketball on this inbound play"	"basketball_nba"	"Eric Bledsoe forgot the rules of basketball for a minute on one boneheaded play during his Milwaukee Bucks' 129-124 win over the LA Clippers on Wednesday night."
"1"	"Earl Thomas' continued greatness contradicts the rarity of the elite deep safety"	"football_nfl"	"From Seattle to Baltimore, and now back to Seattle for one game, Earl Thomas continues to haunt enemy offenses -- and ex-coaches."
"1"	"THEN AND NOW: What all your favorite '90s stars are doing today"	"celebrity"	"These heartthrobs and fan favorites made the 1990s one of the best decades of the century. Here's what they're up to now."
"1"	"The Volkspod VW Beetle Minibikes Are Part Creepy, Part Adorable"	"autosmotorcycles"	"The people's pods."
"1"	"Mayfield's postgame outfit gets all the memes"	"football_nfl"	"Social media had a field day with Baker Mayfield's postgame attire."
"1"	"Back to Blonde! Britney Spears Celebrates New Golden Locks a Month After Her Last Color Change"	"lifestylecelebstyle"	"Britney Spears Embraces New Blonde Hair 1 Month After Last Color Change"
"1"	"Drew Brees back to working with NFL ball in thumb rehab"	"football_nfl"	"Saints quarterback Drew Brees offered an update on his recovery on Wednesday and it included word that he's back to working with a regulation-sized football. Video of Brees throwing a football surfaced earlier this month, but the ball was smaller than the one used in NFL games. During an appearance on WWL Radio, Brees shared [more]"
"1"	"4 High School Students Killed in Texas Car Crash That Also Injured 3: 'We Grieve Together'"	"newsus"	"4 High School Students Killed in Texas Car Crash"
"1"	"Michelle Obama Shows Off Her Abs in New Workout Photo: 'I'm Always Glad I Hit the Gym'"	"entertainment-celebrity"	"The former First Lady shared an inspirational workout selfie in honor of #SelfCareSunday."
"0"	"Ocasio-Cortez: 'Trump himself is clearly not satisfied with only one article of impeachment'"	"newspolitics"	"Rep. Alexandria Ocasio-Cortez (D-N.Y.) didn't hold back on Friday, taking a swipe at President Trump on Twitter after he tweeted about former U.S Ambassador to Ukraine Marie Yovanovitch and her career's work as a diplomatic official."
"1"	"Inside Megyn Kelly's Fight Against NBC Amid New Matt Lauer Allegations"	"tvnews"	"Inside Megyn Kelly's Fight Against NBC Amid New Matt Lauer Allegations"
"1"	"Injured Cowboys DL Daniel Ross arrested on drug, gun charges"	"football_nfl"	"Cowboys defensive lineman Daniel Ross won't play this season after being placed on injured reserve in August because of a shoulder injury and any future availability may be impacted by a suspension. Ross was arrested on Wednesday morning in Frisco, Texas. The Frisco police department said, via Clarence Hill of the Fort Worth Star-Telegram, that [more]"
"1"	"This Philadelphia man wants inner-city kids to shoot basketballs, not guns"	"newsgoodnews"	"Welcome to Good People, a weekly video series that profiles individuals in our community who are helping others through selfless acts of kindness and generosity, with the goal of bettering the lives of those in need. Gary Mills' mission is clear: to end Philadelphia's gun violence through basketball."
"1"	"Darren Sproles out for season"	"football_nfl"	"Eagles running back Darren Sproles may have reached the end of the line. Sproles injured his hip flexor muscle in practice this week and is out for the season, the team announced. The 36-year-old Sproles has played sparingly this year, in part because of a previous injury to the same muscle. With his season now [more]"
"1"	"Former NBA first-round pick Jim Farmer arrested in sex sting operation"	"basketball_nba"	"Farmer, 55, was booked for trafficking a person for a commercial sex act."
"1"	"A man dies in Hawaii after falling into a lava tube in his yard"	"newsus"	"An elderly man died after falling into a lava tube on his property in Hilo, Hawaii, police announced on Wednesday."
"1"	"Hours before passing, Elijah Cummings signed subpoenas directed to two US immigration agencies"	"newsus"	"In one of his last official acts before his death, the late House Oversight and Reform Committee Chairman Elijah Cummings signed two subpoenas for documents related to a temporary end to a policy change that allowed some immigrants with severe health issues to remain in the US."
"0"	"'A turning point in this hearing': Fox personalities speculate if Trump-Yovanovitch tweet could lead to witness intimidation charges"	"newspolitics"	"Multiple Fox News personalities speculated that President Trump's insulting tweet toward former U.S. Ambassador to Ukraine could result in witness tampering and witness intimidation charges."
"0"	"The Volkspod VW Beetle Minibikes Are Part Creepy, Part Adorable"	"autosmotorcycles"	"The people's pods."
"0"	"12-year-old Missouri girl hit by police car dies nearly a month after accident"	"newsus"	"The officer was pursuing a vehicle to conduct a traffic stop when he struck Akeelah Jackson."
"0"	"Pete Davidson, Kaia Gerber Are Dating, Trying to Stay 'Low Profile'"	"tv-celebrity"	"Pete Davidson, Kaia Gerber Are Dating, Trying to Stay 'Low Profile'"
"1"	"Video tribute got Kemba Walker choked up, but his Celtics teammates picked him up"	"basketball_nba"	"Walker had an off night in his return to Charlotte, shooting 4 of 12 for 14 points, but Jayson Tatum and Gordon Hayward were on target."
"1"	"'He's hungry': Warriors' D'Angelo Russell soaking up knowledge from idol Stephen Curry"	"basketball_nba"	"Golden State Warriors guard D'Angelo Russell, a first-time All-Star last season, is already learning from his idol, Stephen Curry."
"1"	"Elton John Has Not Seen 'Bohemian Rhapsody' And Refuses To Watch It"	"music-celebrity"	"John and Mercury were just too close for him to handle the film."
"1"	"20 Things You Should Never Do When Cooking Bacon"	"tipsandtricks"	"Cooking bacon can be tricky, but it doesn't have to be. Here are some common bacon mistakes and the tricks you need to avoid them."
"1"	"Westbrook's historic triple-double leads Rockets to first win of season"	"basketball_nba"	"James Harden's shooting stroke remained off, but Russell Westbrook stayed hot as the Houston Rockets evened their 2019-20 record at 1-1 with a 126-123 home win Saturday over the New Orleans Pelicans. Westbrook's 28 points, 13 assists, and 10 rebounds represented the 139th triple-double of his storied career, which allowed him to pass Magic Johnson for second-most in NBA history."
"1"	"Have a little piece of extra skin? Everything you need to know about skin tags"	"medical"	"Are skin tags dangerous? How do you get rid of them? Doctors explain what you need to know."
"1"	"After pre-game talk, Kemba Walker walks the walk"	"basketball_nba"	"The new point guard came to life in the second half and showed what he   and the Celtics   might be capable of this season."
"1"	"'Ghost kitchens' are taking over fast-food chains from Chick-fil-A to Wendy's"	"foodnews"	"Wendy's became the latest fast-food chain to name-check ghost kitchens on Friday at the company's investor day."
"1"	"Football player changes last name for stepdad"	"newsgoodnews"	""He raised me ever since I was in second grade. And I feel like I owe it to him to carry on his last name," the player said"
"0"	"Opinion: Colin Kaepernick is about to get what he deserves: a chance"	"football_nfl"	"The end may be near for the 3-year-old saga of Colin Kaepernick as the quarterback is scheduled to work out for teams on Saturday."
"0"	"This Easy Trick Will Defrost Your Car Window In Seconds"	"autosownership"	"Clear off a car window in mere seconds."
"1"	"Ben Simmons' continued aversion to shooting outside of the paint an early concern for 76ers"	"basketball_nba"	"Simmons has yet to attempt a single shot from beyond 14 feet so far this season"
"1"	"5 struggling teams that can still make NFL playoffs"	"football_nfl"	"The NFL playoffs are starting to round into shape, but with just under half the season remaining there is still time for struggling teams to get in."
"0"	"The Most Stunning Evening Gowns in Miss America History"	"lifestylecelebstyle"	"See the evolution from the 1920s through 2019."
"0"	"Greek donkeys are still being abused as 'tourist taxis,' PETA claims"	"travelnews"	"The animal rights group claims that legislation recently passed to protect the animals is not being enforced."
"0"	"4 takeaways from Marie Yovanovitch's testimony"	"newspolitics"	"All the highlights, with fact-checking and analysis."
"0"	"Steve Kerr on LeBron James: 'Probably the best athlete to ever walk this planet'"	"basketball_nba"	"Golden State Warriors coach Steve Kerr said that LeBron James is "probably the best athlete to ever walk this planet.""
"0"	"3 Indiana judges suspended after a night of drinking turned into a White Castle brawl"	"newsus"	"Hours before they were to attend an educational conference in Indianapolis, three judges went out drinking for a few hours and decided to walk to a strip joint."
"1"	"Clemson AD responds to Florida's social media request for football series"	"football_ncaa"	"Clemson AD Dan Radakovich responded to Florida AD Scott Stricklin's Twitter request for football scheduling partners"
"1"	"Schumer calls for federal probe of contaminated baby food"	"newspolitics"	"The Senate's top Democrat is calling on the Food and Drug Administration to examine a report that found dozens of baby food products contaminated with lead and other metals."
"0"	"THEN AND NOW: What all your favorite '90s stars are doing today"	"celebrity"	"These heartthrobs and fan favorites made the 1990s one of the best decades of the century. Here's what they're up to now."
"1"	"Opinion: NFL had no choice but to send a clear message with Garrett punishment"	"football_nfl"	"The NFL decision to suspend Myles Garrett for the rest of the Cleveland Browns season was not surprise and sent a clear message from the NFL."
"1"	"USC's St. Brown punishes DB, romps for TD vs. Colorado"	"football_ncaa"	"Amon-Ra St. Brown showed off his truck-stick abilities and his sprint speed on one spectacular play."
"0"	"Camila Cabello Explains the Sweet Meaning Behind Her First Tattoo"	"music-celebrity"	"The singer is sharing the significance behind her new ink."
"0"	"U.S. 'flexible' on military exercises with South Korea as North demands cancellation"	"newsworld"	"The United States will consider changing plans to conduct joint military exercises with South Korea if that helps support diplomatic efforts to restart a dialogue with North Korea, Defense Secretary Mark T. Esper said Friday."
"1"	"Michigan sends breakup tweet to Notre Dame as series goes on hold"	"football_ncaa"	"Parting is such sweet sorrow, say the Wolverines."
"0"	"The Unlikely Star of My Family's Thanksgiving Table"	"recipes"	"It's hard to remember life before broccoli cheese rice casserole. Or, B.B.C.R.C.E. (Before Broccoli Cheese Rice Casserole Era). What did the Kim clan have to look forward to every Thanksgiving before the cheesy family-favorite side dish entered our lives? Stuffing, maybe. Green bean casserole. Macaroni and cheese. Ham in cola, a quirky recipe from Nigella Lawson that she picked up from the American South. Certainly nothing from the Korean..."
"0"	"Opinion: Baylor football back on top four years after sexual assault scandal rocked campus"	"football_ncaa"	"For many watching Saturday night, it will be difficult to get past the name Baylor when the undefeated Bears play Oklahoma. Perhaps that's fair."
"1"	"Report: USC will do 'whatever it takes' to hire Urban Meyer"	"football_ncaa"	"If Meyer expresses an interest in coaching again next season, USC is not going to be the only school that tries to hire him."
"0"	"Police find 26 children behind false wall at Colorado day care"	"newscrime"	"The state of Colorado has suspended the license for Play Mountain Place daycare in Colorado Springs after they uncovered 26 children behind a false wall in the owner's basement, all under the age of three-years-old."
"0"	"Alex Rodriguez Jokingly Talks About Marrying Jennifer Lopez During Super Bowl Halftime Show"	"tv-celebrity"	"Alex Rodriguez Talks Marrying Jennifer Lopez During Super Bowl"
"1"	"Nicki Minaj gets married and more ICYMI celeb news"	"entertainment-celebrity"	"Nicki Minaj gets married, Lori Loughlin has more legal problems, Joe Giudice speaks out from Italy, more news you might have missed this week."
"1"	"Jennifer Lopez Wore an Over-the-Top Sequined Slit Dress to Work"	"lifestylecelebstyle"	"That's what happens when you're shooting a red carpet scene."
"0"	"NBA dynamic duos: What pairings are rocking, struggling?"	"basketball_nba"	"In One-On-One, Sean Keane and Pat Heery dish on LeBron-AD, Doncic-Porzingis, Harden-Westbrook, McCollum-Lillard and more."
"0"	"US teacher killed in Dominican Republic had dream to retire there: Family"	"newsworld"	"Patricia Anton, a teacher killed in the Dominican Republic, was remembered by her family."
"1"	"How the Panthers will approach their breakup with Cam Newton before 2020 season"	"football_nfl"	"Carolina will trade or cut Cam after this season; former NFL team exec Jeff Diamond has no doubt about it. Here is how he would handle the QB if he were in Panthers GM Marty Hurney's position."
"1"	"Hundreds of thousands of people in California are downriver of a dam that 'could fail'"	"newsus"	"Hundreds of thousands of people live downriver from a dam in California that recently had its risk characterization changed "from low to high urgency of action" by the US Army Corps of Engineers."
"1"	"Iowan convicted of murder claims his life-sentence was served once he died, was revived in medical emergency. The court disagrees."	"newscrime"	"An Iowa convicted of murder was rushed from prison to the hospital where his heart was restarted five times. Now he claims he should be freed"
"1"	"NFL teams reportedly believe Browns could trade Odell Beckham if struggles continue"	"football_nfl"	"The Browns are teetering on the verge of complete disaster, and that could lead to some major changes this offseason."
"0"	"Five games in Week 12 that will impact the College Football Playoff race"	"football_ncaa"	"As the season winds down, Week 12 has intriguing games that will impact the College Football Playoff, led by Auburn-Georgia and Oklahoma-Baylor."
"1"	"Brett McMurphy's Musings and College Football Picks for Week 10"	"football_ncaa"	"What I'm wondering while waiting for this weekend's (no, to be honest, next weekend's) games… The post Brett McMurphy's Musings and College Football Picks for Week 10 appeared first on Stadium."
"1"	"Nuggets coach Mike Malone shreds team's effort in loss at Pelicans: 'We're a great talk team'"	"basketball_nba"	"Following a road loss to the New Orleans Pelicans on Wednesday, Nuggets coach Mike Malone said "we have a great talk team ... it's all (expletive).""
"1"	"Three takeaways from 49ers' road win over Cardinals"	"football_nfl"	"San Francisco remains the only perfect team in the NFC and is just one of two teams in the NFL (New England) yet to lose a game."
"1"	"See all the best photos of Prince William and Duchess Kate's royal tour of Pakistan"	"lifestyleroyals"	"In October 2019, the Duke and Duchess of Cambridge traveled to the country once famously visited by the late Princess Diana."
"1"	"NFL trade deadline: 5 teams that should be buyers and 5 that should be sellers"	"football_nfl"	"There has already been a flurry of moves before the NFL's trade deadline, and more could be on the way. Which teams are poised to make a deal?"
"1"	"Flight attendants reveal the wildest things they've seen at work"	"travelnews"	"From the overhead bin raining maggots to a physical assault over armrests, flight attendants reveal the craziest things they've seen on the job."
"1"	"Here's What Malls Looked Like Back in the '50s"	"lifestyledidyouknow"	"Believe it or not, there was a time before food courts existed."
"1"	"Things weren't supposed to go this way for the Knicks this season"	"basketball_nba"	"The Knicks hoped to have two superstars leading their roster in 2019-20. Instead, they are a team likely destined for the lottery."
"1"	"Opinion: Willie Taggart's catchphrase is 'Do Something,' and FSU did by firing him"	"football_ncaa"	"By FSU standards, recruiting was just OK. The product on the field was substandard. Taggart inherited problems but it's clear he could not fix them."
"1"	"Felicity Huffman Smiles as She Begins Community Service Following Prison Release"	"newscrime"	"The 56-year-old actress was released from prison last month."
"1"	"Steelers linebacker Anthony Chickillo arrested, facing assault charges"	"football_nfl"	"Chickillo has been charged with simple assault, criminal mischief and harassment. A source told WTAE that the incident involved Chickillo's girlfriend, so it's a domestic violence issue."
"0"	"Highway blockade reveals splits in Hong Kong protest movement"	"newsworld"	"Highway blockade reveals splits in Hong Kong protest movement"
"1"	"A 'one in a million' yellow cardinal, dubbed 'Sunny,' seen in Florida"	"newsus"	"Only three yellow cardinal sightings are reported a year, making the bird's appearance a rare "one in a million" finding, an Auburn professor said."
"1"	"Rams trade Marcus Peters to Ravens for Kenny Young"	"football_nfl"	"In a surprising and unusual development, a two-time Pro Bowler has been traded from one playoff contender to another. The Rams traded cornerback Marcus Peters to the Ravens. The Ravens are sending second-year linebacker Kenny Young to Los Angeles in the deal, according to Jay Glazer. The move comes as a surprise, as the 26-year-old [more]"
"0"	"The Real Reason McDonald's Keeps the Filet-O-Fish on Their Menu"	"restaurantsandnews"	"It's something of an underdog story."
"1"	"Best Photos of the NBA Preseason"	"basketball_nba"	"Best Photos of the NBA Preseason"
"1"	"Kylie Jenner hits Drake's Halloween party amid flirtation rumors, plus more news"	"celebrity"	"Kylie Jenner hits Drake's Halloween bash a week after the two were spotted flirting at his birthday party. Plus, more celebrity news for Nov. 1, 2019."
"0"	"Last survivor of the Hindenburg disaster dies at age 90"	"newsworld"	"The last remaining survivor of the Hindenburg disaster, Werner Gustav Doehner, who suffered severe burns to his face, arms and legs before his mother managed to toss him and his brother from the burning airship, has died. Doehner, the last among 62 passengers and crew who escaped the May 6, 1937 fire, was 90. The fire killed his father, sister and 34 others. He was just 8 years old at the time of the crash."
"1"	"Celebs celebrate Halloween 2019"	"entertainment-celebrity"	"Here's how the stars dressed up while celebrating Halloween this year!"
"1"	"Former Furman football player accused of drawing swastikas, bringing guns to campus"	"more_sports"	"A former Furman University football player was out on bond for allegedly bringing guns on campus when he was arrested in relation to vandalism charge."
